"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenPer1000Inw_3"
"1";"T001540";"CRI1121";"NL01  ";"2011JJ00";"  677970";"    40.7"
"2";"T001540";"CRI1121";"NL01  ";"2012JJ00";"  656450";"    39.2"
"3";"T001540";"CRI1121";"NL01  ";"2013JJ00";"  650650";"    38.8"
"4";"T001540";"CRI1121";"NL01  ";"2014JJ00";"  592590";"    35.2"
"5";"T001540";"CRI1121";"NL01  ";"2015JJ00";"  549105";"    32.5"
"6";"T001540";"CRI1121";"NL01  ";"2016JJ00";"  498285";"    29.3"
"7";"T001540";"CRI1121";"NL01  ";"2017JJ00";"  428135";"    25.1"
"8";"T001540";"CRI1121";"NL01  ";"2018JJ00";"  380320";"    22.1"
"9";"T001540";"CRI1121";"NL01  ";"2019JJ00";"  374790";"    21.7"
"10";"T001540";"CRI1121";"NL01  ";"2020JJ00";"  330095";"    19.0"
"14";"T001540";"CRI1121";"LD01  ";"2011JJ00";"   47710";"    27.8"
"15";"T001540";"CRI1121";"LD01  ";"2012JJ00";"   46260";"    26.9"
"16";"T001540";"CRI1121";"LD01  ";"2013JJ00";"   46880";"    27.3"
"17";"T001540";"CRI1121";"LD01  ";"2014JJ00";"   42495";"    24.7"
"18";"T001540";"CRI1121";"LD01  ";"2015JJ00";"   39570";"    23.0"
"19";"T001540";"CRI1121";"LD01  ";"2016JJ00";"   36130";"    21.0"
"20";"T001540";"CRI1121";"LD01  ";"2017JJ00";"   27570";"    16.0"
"21";"T001540";"CRI1121";"LD01  ";"2018JJ00";"   25800";"    15.0"
"22";"T001540";"CRI1121";"LD01  ";"2019JJ00";"   25430";"    14.8"
"23";"T001540";"CRI1121";"LD01  ";"2020JJ00";"   21470";"    12.4"
"27";"T001540";"CRI1121";"LD02  ";"2011JJ00";"  120790";"    34.2"
"28";"T001540";"CRI1121";"LD02  ";"2012JJ00";"  118460";"    33.4"
"29";"T001540";"CRI1121";"LD02  ";"2013JJ00";"  118660";"    33.4"
"30";"T001540";"CRI1121";"LD02  ";"2014JJ00";"  101970";"    28.6"
"31";"T001540";"CRI1121";"LD02  ";"2015JJ00";"   90175";"    25.3"
"32";"T001540";"CRI1121";"LD02  ";"2016JJ00";"   83210";"    23.2"
"33";"T001540";"CRI1121";"LD02  ";"2017JJ00";"   69630";"    19.3"
"34";"T001540";"CRI1121";"LD02  ";"2018JJ00";"   62180";"    17.2"
"35";"T001540";"CRI1121";"LD02  ";"2019JJ00";"   62260";"    17.1"
"36";"T001540";"CRI1121";"LD02  ";"2020JJ00";"   55525";"    15.1"
"40";"T001540";"CRI1121";"LD03  ";"2011JJ00";"  357520";"    45.7"
"41";"T001540";"CRI1121";"LD03  ";"2012JJ00";"  342660";"    43.5"
"42";"T001540";"CRI1121";"LD03  ";"2013JJ00";"  339815";"    42.9"
"43";"T001540";"CRI1121";"LD03  ";"2014JJ00";"  312615";"    39.3"
"44";"T001540";"CRI1121";"LD03  ";"2015JJ00";"  296110";"    37.0"
"45";"T001540";"CRI1121";"LD03  ";"2016JJ00";"  272240";"    33.8"
"46";"T001540";"CRI1121";"LD03  ";"2017JJ00";"  239905";"    29.5"
"47";"T001540";"CRI1121";"LD03  ";"2018JJ00";"  211435";"    25.8"
"48";"T001540";"CRI1121";"LD03  ";"2019JJ00";"  208755";"    25.3"
"49";"T001540";"CRI1121";"LD03  ";"2020JJ00";"  184220";"    22.1"
"53";"T001540";"CRI1121";"LD04  ";"2011JJ00";"  151160";"    42.3"
"54";"T001540";"CRI1121";"LD04  ";"2012JJ00";"  148445";"    41.4"
"55";"T001540";"CRI1121";"LD04  ";"2013JJ00";"  144705";"    40.3"
"56";"T001540";"CRI1121";"LD04  ";"2014JJ00";"  134850";"    37.5"
"57";"T001540";"CRI1121";"LD04  ";"2015JJ00";"  122805";"    34.0"
"58";"T001540";"CRI1121";"LD04  ";"2016JJ00";"  106295";"    29.4"
"59";"T001540";"CRI1121";"LD04  ";"2017JJ00";"   90325";"    24.9"
"60";"T001540";"CRI1121";"LD04  ";"2018JJ00";"   80150";"    22.0"
"61";"T001540";"CRI1121";"LD04  ";"2019JJ00";"   77405";"    21.1"
"62";"T001540";"CRI1121";"LD04  ";"2020JJ00";"   68610";"    18.6"
"66";"T001540";"CRI1121";"LD99  ";"2011JJ00";"     795";""
"67";"T001540";"CRI1121";"LD99  ";"2012JJ00";"     625";""
"68";"T001540";"CRI1121";"LD99  ";"2013JJ00";"     585";""
"69";"T001540";"CRI1121";"LD99  ";"2014JJ00";"     660";""
"70";"T001540";"CRI1121";"LD99  ";"2015JJ00";"     445";""
"71";"T001540";"CRI1121";"LD99  ";"2016JJ00";"     415";""
"72";"T001540";"CRI1121";"LD99  ";"2017JJ00";"     705";""
"73";"T001540";"CRI1121";"LD99  ";"2018JJ00";"     750";""
"74";"T001540";"CRI1121";"LD99  ";"2019JJ00";"     945";""
"75";"T001540";"CRI1121";"LD99  ";"2020JJ00";"     270";""
"79";"T001540";"CRI1121";"PV20  ";"2011JJ00";"   19415";"    33.5"
