"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4"
"0";"1050010";"1050010";"NL01  ";"2011JJ00";"  7347.5";"    25.6";"    22.8"
"1";"1050010";"1050010";"NL01  ";"2012JJ00";"  7412.1";"    25.8";"    23.0"
"2";"1050010";"1050010";"NL01  ";"2013JJ00";"  7467.8";"    25.9";"    23.2"
"3";"1050010";"1050010";"NL01  ";"2014JJ00";"  7496.4";"    27.3";"    23.9"
"4";"1050010";"1050010";"NL01  ";"2015JJ00";"  7568.5";"    27.1";"    24.3"
"5";"1050010";"1050010";"NL01  ";"2016JJ00";"  7623.2";"    28.2";"    25.2"
"6";"1050010";"1050010";"NL01  ";"2017JJ00";"  7694.9";"    29.2";"    25.8"
"7";"1050010";"1050010";"NL01  ";"2018JJ00";"  7760.6";"    29.5";"    26.3"
"8";"1050010";"1050010";"NL01  ";"2019JJ00";"  7827.4";"    31.6";"    27.6"
"9";"1050010";"1050010";"NL01  ";"2020JJ00";"  7894.5";"    32.1";"    28.7"
"11";"1050010";"1050010";"LD01  ";"2011JJ00";"   763.2";"    23.4";"    21.3"
"12";"1050010";"1050010";"LD01  ";"2012JJ00";"   768.2";"    23.5";"    21.6"
"13";"1050010";"1050010";"LD01  ";"2013JJ00";"   772.8";"    23.7";"    21.8"
"14";"1050010";"1050010";"LD01  ";"2014JJ00";"   774.0";"    24.8";"    22.4"
"15";"1050010";"1050010";"LD01  ";"2015JJ00";"   779.0";"    24.8";"    22.7"
"16";"1050010";"1050010";"LD01  ";"2016JJ00";"   781.3";"    25.8";"    23.6"
"17";"1050010";"1050010";"LD01  ";"2017JJ00";"   786.3";"    26.5";"    24.1"
"18";"1050010";"1050010";"LD01  ";"2018JJ00";"   789.9";"    26.8";"    24.5"
"19";"1050010";"1050010";"LD01  ";"2019JJ00";"   794.3";"    28.3";"    25.7"
"20";"1050010";"1050010";"LD01  ";"2020JJ00";"   799.0";"    29.1";"    26.8"
"22";"1050010";"1050010";"LD02  ";"2011JJ00";"  1482.8";"    25.1";"    22.7"
"23";"1050010";"1050010";"LD02  ";"2012JJ00";"  1496.8";"    25.2";"    22.9"
"24";"1050010";"1050010";"LD02  ";"2013JJ00";"  1510.0";"    25.3";"    23.1"
"25";"1050010";"1050010";"LD02  ";"2014JJ00";"  1513.7";"    26.7";"    23.8"
"26";"1050010";"1050010";"LD02  ";"2015JJ00";"  1527.5";"    26.4";"    24.1"
"27";"1050010";"1050010";"LD02  ";"2016JJ00";"  1538.9";"    27.5";"    25.1"
"28";"1050010";"1050010";"LD02  ";"2017JJ00";"  1555.6";"    28.4";"    25.7"
"29";"1050010";"1050010";"LD02  ";"2018JJ00";"  1569.8";"    28.7";"    26.1"
"30";"1050010";"1050010";"LD02  ";"2019JJ00";"  1586.1";"    30.8";"    27.4"
"31";"1050010";"1050010";"LD02  ";"2020JJ00";"  1601.6";"    31.4";"    28.6"
"33";"1050010";"1050010";"LD03  ";"2011JJ00";"  3542.5";"    26.3";"    23.2"
"34";"1050010";"1050010";"LD03  ";"2012JJ00";"  3575.4";"    26.5";"    23.4"
"35";"1050010";"1050010";"LD03  ";"2013JJ00";"  3601.3";"    26.7";"    23.5"
"36";"1050010";"1050010";"LD03  ";"2014JJ00";"  3619.0";"    28.2";"    24.3"
"37";"1050010";"1050010";"LD03  ";"2015JJ00";"  3658.9";"    28.0";"    24.6"
"38";"1050010";"1050010";"LD03  ";"2016JJ00";"  3690.0";"    29.1";"    25.6"
"39";"1050010";"1050010";"LD03  ";"2017JJ00";"  3724.7";"    30.1";"    26.2"
"40";"1050010";"1050010";"LD03  ";"2018JJ00";"  3759.1";"    30.4";"    26.7"
"41";"1050010";"1050010";"LD03  ";"2019JJ00";"  3791.3";"    32.8";"    28.0"
"42";"1050010";"1050010";"LD03  ";"2020JJ00";"  3825.6";"    33.2";"    29.2"
"44";"1050010";"1050010";"LD04  ";"2011JJ00";"  1557.9";"    25.5";"    23.0"
"45";"1050010";"1050010";"LD04  ";"2012JJ00";"  1571.1";"    25.7";"    23.3"
"46";"1050010";"1050010";"LD04  ";"2013JJ00";"  1583.3";"    25.9";"    23.5"
"47";"1050010";"1050010";"LD04  ";"2014JJ00";"  1589.7";"    27.2";"    24.1"
"48";"1050010";"1050010";"LD04  ";"2015JJ00";"  1603.2";"    27.0";"    24.5"
"49";"1050010";"1050010";"LD04  ";"2016JJ00";"  1613.0";"    28.1";"    25.4"
"50";"1050010";"1050010";"LD04  ";"2017JJ00";"  1628.4";"    29.1";"    26.0"
"51";"1050010";"1050010";"LD04  ";"2018JJ00";"  1641.8";"    29.3";"    26.4"
"52";"1050010";"1050010";"LD04  ";"2019JJ00";"  1655.7";"    31.4";"    27.7"
"53";"1050010";"1050010";"LD04  ";"2020JJ00";"  1668.2";"    31.8";"    28.8"
"55";"1050010";"1050010";"PV20  ";"2011JJ00";"   274.6";"    22.1";"    20.2"
"56";"1050010";"1050010";"PV20  ";"2012JJ00";"   277.3";"    22.2";"    20.4"
"57";"1050010";"1050010";"PV20  ";"2013JJ00";"   279.6";"    22.3";"    20.5"
"58";"1050010";"1050010";"PV20  ";"2014JJ00";"   280.1";"    23.3";"    21.1"
"59";"1050010";"1050010";"PV20  ";"2015JJ00";"   282.9";"    23.3";"    21.3"
"60";"1050010";"1050010";"PV20  ";"2016JJ00";"   283.7";"    24.2";"    22.0"
"61";"1050010";"1050010";"PV20  ";"2017JJ00";"   284.5";"    24.9";"    22.6"
"62";"1050010";"1050010";"PV20  ";"2018JJ00";"   285.5";"    25.1";"    23.0"
"63";"1050010";"1050010";"PV20  ";"2019JJ00";"   286.7";"    26.5";"    24.1"
"64";"1050010";"1050010";"PV20  ";"2020JJ00";"   287.9";"    27.4";"    25.2"
"66";"1050010";"1050010";"PV21  ";"2011JJ00";"   279.8";"    23.7";"    21.5"
"67";"1050010";"1050010";"PV21  ";"2012JJ00";"   281.1";"    23.8";"    21.8"
"68";"1050010";"1050010";"PV21  ";"2013JJ00";"   282.5";"    24.1";"    22.0"
"69";"1050010";"1050010";"PV21  ";"2014JJ00";"   283.3";"    25.2";"    22.6"
"70";"1050010";"1050010";"PV21  ";"2015JJ00";"   284.6";"    25.1";"    23.0"
"71";"1050010";"1050010";"PV21  ";"2016JJ00";"   285.4";"    26.1";"    23.9"
"72";"1050010";"1050010";"PV21  ";"2017JJ00";"   287.4";"    26.9";"    24.5"
"73";"1050010";"1050010";"PV21  ";"2018JJ00";"   288.7";"    27.3";"    24.9"
"74";"1050010";"1050010";"PV21  ";"2019JJ00";"   290.5";"    28.9";"    26.1"
"75";"1050010";"1050010";"PV21  ";"2020JJ00";"   292.6";"    29.5";"    27.2"
"77";"1050010";"1050010";"PV22  ";"2011JJ00";"   208.8";"    24.8";"    22.5"
"78";"1050010";"1050010";"PV22  ";"2012JJ00";"   209.9";"    25.0";"    22.7"
"79";"1050010";"1050010";"PV22  ";"2013JJ00";"   210.7";"    25.1";"    23.0"
"80";"1050010";"1050010";"PV22  ";"2014JJ00";"   210.6";"    26.3";"    23.7"
"81";"1050010";"1050010";"PV22  ";"2015JJ00";"   211.5";"    26.3";"    24.0"
"82";"1050010";"1050010";"PV22  ";"2016JJ00";"   212.2";"    27.4";"    24.9"
"83";"1050010";"1050010";"PV22  ";"2017JJ00";"   214.3";"    28.2";"    25.5"
"84";"1050010";"1050010";"PV22  ";"2018JJ00";"   215.7";"    28.4";"    25.9"
"85";"1050010";"1050010";"PV22  ";"2019JJ00";"   217.0";"    30.0";"    27.2"
"86";"1050010";"1050010";"PV22  ";"2020JJ00";"   218.5";"    30.9";"    28.3"
"88";"1050010";"1050010";"PV23  ";"2011JJ00";"   474.6";"    24.3";"    22.2"
"89";"1050010";"1050010";"PV23  ";"2012JJ00";"   477.9";"    24.5";"    22.4"
"90";"1050010";"1050010";"PV23  ";"2013JJ00";"   481.0";"    24.7";"    22.6"
"91";"1050010";"1050010";"PV23  ";"2014JJ00";"   480.0";"    26.0";"    23.3"
"92";"1050010";"1050010";"PV23  ";"2015JJ00";"   483.4";"    25.8";"    23.6"
"93";"1050010";"1050010";"PV23  ";"2016JJ00";"   486.6";"    26.9";"    24.6"
"94";"1050010";"1050010";"PV23  ";"2017JJ00";"   491.2";"    27.7";"    25.2"
"95";"1050010";"1050010";"PV23  ";"2018JJ00";"   495.0";"    28.0";"    25.6"
"96";"1050010";"1050010";"PV23  ";"2019JJ00";"   499.5";"    30.0";"    26.9"
"97";"1050010";"1050010";"PV23  ";"2020JJ00";"   503.9";"    30.7";"    28.0"
